date,symbol,fundingRateTimestamp,fundingRate
2020-08-02,BTCUSDT,1596355200000,0.0001
2020-08-02,BTCUSDT,1596384000000,0.0001
2020-08-03,BTCUSDT,1596412800000,0.0001
2020-08-03,BTCUSDT,1596441600000,0.0001
2020-08-03,BTCUSDT,1596470400000,0.0001
2020-08-04,BTCUSDT,1596499200000,0.0001
2020-08-04,BTCUSDT,1596528000000,0.0001
2020-08-04,BTCUSDT,1596556800000,0.0001
2020-08-05,BTCUSDT,1596585600000,0.0001
2020-08-05,BTCUSDT,1596614400000,0.0001
2020-08-05,BTCUSDT,1596643200000,0.0001
2020-08-06,BTCUSDT,1596672000000,0.0001
2020-08-06,BTCUSDT,1596700800000,0.0001
2020-08-06,BTCUSDT,1596729600000,0.0001
2020-08-07,BTCUSDT,1596758400000,0.0001
2020-08-07,BTCUSDT,1596787200000,0.0001
2020-08-07,BTCUSDT,1596816000000,0.0001
2020-08-08,BTCUSDT,1596844800000,0.0001
2020-08-08,BTCUSDT,1596873600000,0.0001
2020-08-08,BTCUSDT,1596902400000,0.0001
2020-08-09,BTCUSDT,1596931200000,0.0001
2020-08-09,BTCUSDT,1596960000000,0.0001
2020-08-09,BTCUSDT,1596988800000,0.0001
2020-08-10,BTCUSDT,1597017600000,0.0001
2020-08-10,BTCUSDT,1597046400000,0.0001
2020-08-10,BTCUSDT,1597075200000,0.00027192
2020-08-11,BTCUSDT,1597104000000,0.0001
2020-08-11,BTCUSDT,1597132800000,0.0001
2020-08-11,BTCUSDT,1597161600000,0.0001
2020-08-12,BTCUSDT,1597190400000,0.00029662
2020-08-12,BTCUSDT,1597219200000,0.00021628
2020-08-12,BTCUSDT,1597248000000,0.0001
2020-08-13,BTCUSDT,1597276800000,0.0001
2020-08-13,BTCUSDT,1597305600000,0.0001
2020-08-13,BTCUSDT,1597334400000,0.0001
2020-08-14,BTCUSDT,1597363200000,0.0001
2020-08-14,BTCUSDT,1597392000000,0.0001599
2020-08-14,BTCUSDT,1597420800000,0.00044653
2020-08-15,BTCUSDT,1597449600000,0.00069388
2020-08-15,BTCUSDT,1597478400000,0.00051114
2020-08-15,BTCUSDT,1597507200000,0.0005648
2020-08-16,BTCUSDT,1597536000000,0.0007076
2020-08-16,BTCUSDT,1597564800000,0.00049832
2020-08-16,BTCUSDT,1597593600000,0.00044021
2020-08-17,BTCUSDT,1597622400000,0.00071684
2020-08-17,BTCUSDT,1597651200000,0.00047435
2020-08-17,BTCUSDT,1597680000000,0.00089891
2020-08-18,BTCUSDT,1597708800000,0.00100541
2020-08-18,BTCUSDT,1597737600000,0.00212467
2020-08-18,BTCUSDT,1597766400000,0.00192023
2020-08-19,BTCUSDT,1597795200000,0.00192101
2020-08-19,BTCUSDT,1597824000000,0.00123749
2020-08-19,BTCUSDT,1597852800000,0.00102092
2020-08-20,BTCUSDT,1597881600000,0.00059939
2020-08-20,BTCUSDT,1597910400000,0.00019461
2020-08-20,BTCUSDT,1597939200000,0.0001
2020-08-21,BTCUSDT,1597968000000,0.00024206
2020-08-21,BTCUSDT,1597996800000,0.0001
2020-08-21,BTCUSDT,1598025600000,0.0001
2020-08-22,BTCUSDT,1598054400000,0.0001
2020-08-22,BTCUSDT,1598083200000,0.00013358
